"salary","batting","OBP","runs","hits","dooubles","tripes","homeruns","RBI","walks","strikeouts","stolenbases","errors","name"
3300,0.272,0.302,69,153,21,4,31,104,22,80,4,3,"Andre Dawson     "
2600,0.269,0.335,58,111,17,2,18,66,39,69,0,3,"Steve Buchele    "
2500,0.249,0.337,54,115,15,1,17,73,63,116,6,5,"Kal Daniels      "
2175,0.291,0.379,104,170,32,2,26,100,87,89,22,4,"Ryne Sandberg    "
600,0.258,0.37,34,86,14,1,14,38,15,45,0,10,"Luis Salazar     "
2600,0.3,0.368,69,141,22,3,19,75,53,64,31,7,"Ivan Calderon    "
1907,0.225,0.292,60,130,22,1,13,73,50,100,2,14,"Tim Wallach      "
990,0.29,0.349,59,141,30,2,16,64,42,102,14,6,"Larry Walker     "
925,0.246,0.323,22,81,14,0,6,26,22,26,2,5,"Gary Carter      "
6100,0.302,0.391,102,174,44,6,18,100,90,67,2,15,"Bobby Bonilla    "
4125,0.26,0.321,69,150,23,1,19,96,55,74,10,7,"Eddie Murray     "
3213,0.255,0.347,45,71,7,5,1,17,39,47,37,3,"Vince Coleman    "
2319,0.259,0.349,108,146,34,4,38,117,78,120,30,31,"Howard Johnson   "
2000,0.223,0.307,43,84,10,4,10,40,36,56,7,4,"Kevin Bass       "
1600,0.225,0.31,44,96,9,3,0,31,50,69,8,15,"Dick Schofield   "
1394,0.258,0.381,58,108,23,0,4,51,83,50,1,5,"Dave Magadan     "
935,0.275,0.351,40,70,16,4,4,21,30,42,15,3,"Daryl Boston     "
850,0.327,0.424,60,141,14,3,0,54,75,38,4,20,"Willie Randolph  "
2500,0.252,0.309,66,137,33,1,28,81,48,93,1,5,"Dale Murphy      "
2350,0.294,0.367,84,158,27,6,21,92,67,100,7,3,"John Kruk        "
2317,0.297,0.391,48,73,13,5,3,12,37,20,24,4,"Lenny Dykstra    "
2000,0.258,0.288,46,86,7,4,12,40,12,57,5,9,"Mariano Duncan   "
715,0.205,0.268,21,36,5,3,1,11,16,36,7,3,"Stan Javier      "
650,0.243,0.344,20,45,12,0,0,15,30,30,3,4,"Wally Backman    "
4450,0.265,0.355,87,130,24,7,17,83,71,85,10,1,"Andy Van Slyke   "
1850,0.289,0.351,25,97,11,2,3,41,33,27,2,1,"Mike LaValliere  "
1192,0.295,0.363,19,65,17,1,1,29,21,32,1,5,"Don Slaught      "
825,0.246,0.324,45,62,12,2,7,24,28,39,17,6,"Gary Redus       "
2425,0.272,0.326,41,116,12,1,8,70,37,46,4,16,"Pedro Guerrero   "
2367,0.219,0.268,34,82,13,2,9,33,23,86,5,9,"Andres Galarraga "
2050,0.24,0.357,37,88,11,4,1,26,67,48,1,9,"Jose Guillen     "
2000,0.285,0.38,96,157,30,3,3,50,83,36,35,8,"Ozzie Smith      "
1617,0.307,0.368,55,100,16,5,6,34,32,53,16,2,"Milt Thompson    "
1167,0.24,0.3,29,58,8,4,6,36,22,34,15,5,"Gerald Perry     "
3150,0.319,0.363,94,187,34,8,22,86,43,70,10,24,"Terry Pendleton  "
2785,0.297,0.371,81,119,10,1,0,26,47,40,72,3,"Otis Nixon       "
2400,0.253,0.313,32,67,12,0,11,45,25,31,0,3,"Sid Bream        "
1750,0.275,0.377,58,97,19,1,7,44,50,64,9,5,"Lonnie Smith     "
4350,0.302,0.378,88,140,27,4,20,69,55,64,24,15,"Barry Larkin     "
2833,0.28,0.359,51,101,12,2,6,35,46,39,5,7,"Bill Doran       "
800,0.214,0.29,38,72,12,1,11,38,36,92,1,3,"Pete Incaviglia  "
4050,0.265,0.361,86,134,22,4,28,99,75,125,10,5,"Darryl Strawberry"
3600,0.235,0.353,39,67,10,0,11,33,48,92,14,3,"Eric Davis       "
3333,0.296,0.401,112,182,13,5,2,38,108,79,38,0,"Brett Butler     "
2183,0.264,0.353,39,91,16,2,8,40,47,32,4,7,"Mike Scioscia    "
1150,0.294,0.338,29,86,15,3,2,40,17,46,2,3,"Todd Benzinger   "
840,0.287,0.349,59,123,16,1,3,38,37,32,12,20,"Lenny Harris     "
400,0.222,0.296,21,38,8,5,2,19,18,52,0,2,"Mitch Webster    "
350,0.248,0.286,24,56,5,2,2,13,12,35,2,11,"Dave Anderson    "
4075,0.278,0.396,84,147,19,1,31,106,105,135,4,14,"Fred McGriff     "
2387,0.317,0.355,69,158,27,11,4,62,34,19,8,3,"Tony Gwynn       "
1750,0.265,0.322,44,102,17,1,6,51,33,56,3,18,"Kurt Stillwell   "
687,0.217,0.319,41,74,16,0,12,44,51,77,9,9,"Tim Teufel       "
4275,0.301,0.359,84,170,32,7,29,116,51,91,4,4,"Will Clark       "
3563,0.312,0.357,67,155,30,3,4,43,34,74,17,6,"Willie McGee     "
1600,0.262,0.352,74,129,24,5,19,48,63,95,14,11,"Robby Thompson   "
940,0.175,0.216,14,29,4,1,3,17,9,60,0,3,"Corey Snyder     "
3415,0.227,0.307,29,40,9,1,10,28,16,29,4,8,"Glenn Davis      "
2100,0.323,0.374,99,210,46,5,34,114,53,46,6,11,"Cal Ripken       "
1300,0.278,0.321,57,135,22,1,5,43,28,45,6,1,"Joe Orsulak      "
1025,0.26,0.313,82,158,27,10,19,59,47,115,16,3,"Mike Devereaux   "
2900,0.249,0.374,75,120,18,1,26,87,96,133,0,0,"Jack Clark       "
2850,0.229,0.303,54,105,24,1,16,70,49,72,1,3,"Tom Brunansky    "
2700,0.332,0.421,93,181,42,2,8,51,89,32,1,12,"Wade Boggs       "
2400,0.231,0.291,45,107,23,2,5,48,37,53,8,5,"Tony Pena        "
2300,0.251,0.314,56,119,33,3,14,56,39,81,6,2,"Ellis Burks      "
550,0.225,0.272,17,38,6,1,1,4,11,40,4,5,"Herm Winningham  "
550,0.224,0.274,28,94,21,1,1,44,27,54,2,7,"Brook Jacoby     "
300,0.209,0.293,9,28,5,1,0,11,15,12,0,1,"Junior Ortiz     "
4500,0.261,0.347,102,163,25,0,44,133,78,151,0,8,"Cecil Fielder    "
3358,0.263,0.387,85,132,17,2,31,89,101,131,3,6,"Mickey Tettleton "
